val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.3060771614362028,0.49697250085076966,0.6109521212401213,0,199,,,
,,,0,199,0.24854240567928554,0.36124029848151856,0.5589778502641783
0.35760957718768716,0.5662683554154659,0.6589612219068739,1,399,,,
,,,1,399,0.3013716296956049,0.4907376253800177,0.610084874451739
0.3684941653520858,0.5649682158526652,0.6976557007542363,2,599,,,
,,,2,599,0.3415201255436889,0.5448343668331587,0.6447350507541697
0.3277219743575903,0.5184386455444732,0.661043804663199,3,799,,,
,,,3,799,0.3520354639561871,0.5583150774910689,0.6539709458076542
0.42537955125741655,0.6412807942706923,0.7194066188953541,4,999,,,
,,,4,999,0.37852391660474405,0.590968539465073,0.6738962564705924
0.36281641662731534,0.5627992370114262,0.6704956037026865,5,1199,,,
,,,5,1199,0.39199525646261424,0.6054097060117611,0.6893147326540511
0.40923766405707596,0.6246082284763411,0.7045350533944589,6,1399,,,
,,,6,1399,0.4047938044439553,0.6205561292354608,0.6975954526124745
0.4355951808670215,0.6537595459805422,0.7102288051887795,7,1599,,,
,,,7,1599,0.41730529876355127,0.6338116454818206,0.710121831476668
0.40892090477819104,0.6171237196152467,0.7157051245371501,8,1799,,,
,,,8,1799,0.4331221603669101,0.6514444778762695,0.7211164566562082
0.48558704292955296,0.7046744307244233,0.7661538124084473,9,1999,,,
,,,9,1999,0.44383489071286203,0.6620517029623725,0.7318960208472973
0.4618466664805341,0.681247542165894,0.7456712104656078,10,2199,,,
,,,10,2199,0.45428093189634794,0.5887740911200884,0.7406513142300759
0.4914965084131261,0.712266633415825,0.7479450596703423,11,2399,,,
,,,11,2399,0.46058677939634163,0.594204559199584,0.7465420360998557
0.4833573746879425,0.6159205082652554,0.7595480300762035,12,2599,,,
,,,12,2599,0.46911973140821833,0.6028075483906615,0.7485881019557821
0.4458096848848384,0.5804554811039032,0.725221081133242,13,2799,,,
,,,13,2799,0.47475739564374675,0.6076179368931969,0.7568652716167601
0.4887638360361327,0.6263599171035943,0.7694130120454011,14,2999,,,
,,,14,2999,0.4886702031514918,0.6219793659345241,0.766869286994967
0.48545633654372283,0.6274370425550952,0.7637679541552508,15,3199,,,
,,,15,3199,0.5025681186166321,0.6408356384814824,0.7721164143264027
