epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,199,,,,0.715187073,0.809084475,0.577500463
0,199,0.741667688,0.854920685,0.621989012,,,
1,399,,,,0.721744418,0.81531471,0.584797621
1,399,0.757774651,0.861172736,0.639656782,,,
2,599,,,,0.727442503,0.814633429,0.591467619
2,599,0.76231873,0.8648628,0.644026279,,,
3,799,,,,0.709684193,0.82400316,0.573928654
3,799,0.767583847,0.866009593,0.64987725,,,
4,999,,,,0.687465549,0.806486607,0.548300743
4,999,0.749559164,0.851009667,0.624186993,,,
5,1199,,,,0.73691684,0.820344925,0.60097909
5,1199,0.761744142,0.856767297,0.638946533,,,
6,1399,,,,0.738555133,0.824342966,0.602862
6,1399,0.759179294,0.855223715,0.635446072,,,
7,1599,,,,0.753033042,0.82357198,0.618535042
7,1599,0.764801741,0.858760238,0.642538548,,,
8,1799,,,,0.735019445,0.826839805,0.597060025
8,1799,0.777761638,0.866033256,0.658491433,,,
9,1999,,,,0.743185759,0.818833947,0.608171046
9,1999,0.774897456,0.865695059,0.654850185,,,
10,2199,,,,0.759195626,0.836680412,0.626723647
10,2199,0.782575428,0.872145772,0.665237844,,,
11,2399,,,,0.75346303,0.83232373,0.620048165
11,2399,0.778404713,0.867056429,0.659035265,,,
12,2599,,,,0.75230068,0.829398334,0.616875947
12,2599,0.786206484,0.873310268,0.669392228,,,
13,2799,,,,0.758796751,0.835456014,0.625834703
13,2799,0.792165816,0.875775754,0.676311493,,,
14,2999,,,,0.759226978,0.837234795,0.626928389
14,2999,0.788550615,0.874418199,0.672439277,,,
15,3199,,,,0.759590268,0.832370043,0.626975656
15,3199,0.795882881,0.8802526,0.681916177,,,
16,3399,,,,0.767528236,0.834916115,0.636395931
16,3399,0.798035324,0.880805612,0.684403658,,,
17,3599,,,,0.770076454,0.838760495,0.639441431
17,3599,0.798424065,0.878501773,0.683988631,,,
18,3799,,,,0.761056304,0.834283531,0.627577543
18,3799,0.801621675,0.88115871,0.68872267,,,
19,3999,,,,0.769226909,0.836437702,0.63860786
19,3999,0.804231524,0.883374512,0.69241941,,,
20,4199,,,,0.760507524,0.838950396,0.627767503
20,4199,0.804155171,0.882718563,0.691774666,,,
21,4399,,,,0.76668942,0.835209906,0.634158432
21,4399,0.809158206,0.88999629,0.699633718,,,
22,4599,,,,0.768741667,0.842148721,0.638336897
22,4599,0.813656688,0.890803754,0.705352366,,,
23,4799,,,,0.759933531,0.830507636,0.625148654
23,4799,0.80065465,0.880258262,0.687276244,,,
24,4999,,,,0.776617408,0.844025433,0.647224307
24,4999,0.813709617,0.890133202,0.705369473,,,
25,5199,,,,0.769332707,0.837011099,0.637906492
