val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.28391100236525924,0.46408604993676184,0.6023463284527814,0,399,,,
,,,0,399,0.21767088049973285,0.32792884021445506,0.5148121701662517
0.3283879568356759,0.5269845921050907,0.6307130831259268,1,799,,,
,,,1,799,0.2801964090539775,0.46837078546855754,0.5721447909359603
0.3019019362445996,0.497412293887563,0.6018056887167471,2,1199,,,
,,,2,1199,0.31643148920527714,0.5166112428133964,0.6051388115595421
0.31514633873685644,0.5036920796578765,0.6221098952823215,3,1599,,,
,,,3,1599,0.33326033833761676,0.5382350109640771,0.6225437409124479
0.3654946766711866,0.5762546156057281,0.6617795326091626,4,1999,,,
,,,4,1999,0.3545319390605698,0.5628559434390791,0.6460831733310717
0.4058190869792745,0.6251610436426931,0.6820761963173195,5,2399,,,
,,,5,2399,0.37308473958430177,0.5838401141466887,0.6653287055800768
0.4207201685359362,0.5579346232205109,0.706890328725179,6,2799,,,
,,,6,2799,0.3894432930689439,0.5277841725694538,0.6798004409610849
0.4701919372732132,0.6146218652918632,0.7368126710255941,7,3199,,,
,,,7,3199,0.40697990726343064,0.5478439585569618,0.6931877987816158
0.4685817180735817,0.6183412671874939,0.7188862747616238,8,3599,,,
,,,8,3599,0.42781735894234074,0.5736087495704296,0.7041441517076039
0.4831565903857281,0.6336449672217768,0.7259827931722005,9,3999,,,
,,,9,3999,0.44159488016178317,0.5884821037699917,0.7177497146688264
0.4709323891311139,0.6205549841164432,0.7209807802129675,10,4399,,,
,,,10,4399,0.45698325897580583,0.6050857220042907,0.72570276456739
0.4923483105123584,0.6446649118244674,0.7429809323063603,11,4799,,,
,,,11,4799,0.46499051280441267,0.6131496395548975,0.730984556354491
0.5122779548834266,0.6614439861405381,0.7457766144363969,12,5199,,,
,,,12,5199,0.4660987864890568,0.6150084775030675,0.7323161382783216
0.5187987970846468,0.6703839811826475,0.7530923454849808,13,5599,,,
,,,13,5599,0.48456051102073894,0.6334165074263274,0.7451537587201956
0.5333509199289683,0.6834232164407774,0.7619701774032027,14,5999,,,
,,,14,5999,0.4984275737243207,0.6460331281928484,0.7563544675832355
0.5344884378067398,0.6849462544375363,0.7645105715151186,15,6399,,,
,,,15,6399,0.5015223310448276,0.6504249644969846,0.7534059370833243
0.523636214758589,0.6750181254979872,0.7520112673441569,16,6799,,,
,,,16,6799,0.5060421933777123,0.6544257780137654,0.762955901395277
0.5471964642226186,0.696530050236996,0.7743666578222204,17,7199,,,
,,,17,7199,0.5217163492781386,0.6688542326807754,0.7717274989724756
0.5568194066692879,0.7038770360853059,0.7785981513835766,18,7599,,,
,,,18,7599,0.5292276909294884,0.6756591959227196,0.775353545774058
0.46534442727858566,0.6143132264831312,0.7383521062356454,19,7999,,,
,,,19,7999,0.538940423311334,0.6840296937576047,0.7843634090932933
0.5103948631686939,0.6634912229387766,0.7500689753779659,20,8399,,,
,,,20,8399,0.5421034397598801,0.6877874099609256,0.7833491815758034
0.5516045621663638,0.6988593477828481,0.7845695336659749,21,8799,,,
,,,21,8799,0.553271029876174,0.6965615261333078,0.7899354711669938
0.5723821643661384,0.7164841208080199,0.7966025370138663,22,9199,,,
,,,22,9199,0.5645024314170666,0.706417137991985,0.7991148159117778
0.5899892922352161,0.7322135713721607,0.8022395893379494,23,9599,,,
,,,23,9599,0.5664199691710308,0.7082457905122524,0.8005884283204444
0.5604107345942615,0.7087860676799551,0.7772241874977395,24,9999,,,
,,,24,9999,0.5680695815938647,0.70982563386915,0.8034888236680351
0.5769950085973728,0.7220429743577955,0.7882730413366247,25,10399,,,
,,,25,10399,0.577573722650164,0.7178708338970339,0.8062562870874812
0.5871499672819258,0.7296673821630837,0.7975276735093858,26,10799,,,
,,,26,10799,0.5837802178297385,0.7224928560147504,0.8136709275828534
0.5987284766163594,0.7394162367511419,0.8093148337470161,27,11199,,,
,,,27,11199,0.595306308577092,0.7318610923391707,0.821129274537559
0.5923561993299938,0.7343403642937136,0.7998452186584473,28,11599,,,
,,,28,11599,0.5934779358269487,0.7307544539443371,0.8186189485363207
0.5820701517432143,0.7257260969051839,0.800172683927748,29,11999,,,
,,,29,11999,0.5963634279938064,0.7330379292150442,0.8194104078274603
0.6033668201656843,0.7432541597939213,0.8066251048335322,30,12399,,,
,,,30,12399,0.6027698441609953,0.7384381489462803,0.8236533699459153
0.5977803512382383,0.7389825725028736,0.8009477544713903,31,12799,,,
,,,31,12799,0.6107011458798977,0.7448471507979574,0.8303910878735726
0.6165049001922361,0.753137759541811,0.8201940624802201,32,13199,,,
,,,32,13199,0.6151436147112713,0.7489196490815868,0.8309135840394996
