val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.22732137421971493,0.38789038628715283,0.5248393994790537,0,399,,,
,,,0,399,0.206292100726443,0.3060096756950577,0.5208659082196675
0.2760767353519232,0.4561366749437078,0.5990978435233787,1,799,,,
,,,1,799,0.26044293342080016,0.4341499220231242,0.572383376452992
0.3272834673521888,0.5227335381145827,0.6524144896754512,2,1199,,,
,,,2,1199,0.2936856245608949,0.48122869827065945,0.6020582081458894
0.2347320510552447,0.3787684499253116,0.5620840655432807,3,1599,,,
,,,3,1599,0.30762140181406955,0.4996675891146018,0.6171055918519066
0.3746958764765107,0.5796995118518995,0.6860718267935294,4,1999,,,
,,,4,1999,0.3259484163205326,0.5248738777897387,0.6301173169858636
0.36914499617257396,0.5719556216576758,0.6894591702355279,5,2399,,,
,,,5,2399,0.3360195607389667,0.5364615912251407,0.6421468661924686
0.3722185155945629,0.5768244466397238,0.6821287932219329,6,2799,,,
,,,6,2799,0.3514077931330639,0.557063081267282,0.6531169590818298
0.3845908507393684,0.5237855244557392,0.6790046285699916,7,3199,,,
,,,7,3199,0.3642720222475507,0.5727922919360803,0.6655350263464089
0.39881123240832184,0.5304610618733361,0.7110125541687011,8,3599,,,
,,,8,3599,0.38101176707066864,0.5178626313338223,0.6810132807960297
0.41199916907574197,0.5463716230843221,0.7101500511169434,9,3999,,,
,,,9,3999,0.3863587135164333,0.523027272174771,0.688100061836084
0.4100074987611926,0.5442710708435976,0.7141172956537317,10,4399,,,
,,,10,4399,0.3986653188648752,0.5346998610727898,0.6974582688823654
0.4199517865623779,0.5538760083826102,0.7189668955626312,11,4799,,,
,,,11,4799,0.40615895534126234,0.5426684926597621,0.7037848083433496
0.40466159470348934,0.543020344858213,0.7055791448663782,12,5199,,,
,,,12,5199,0.41694610406402755,0.5542900029656217,0.7112536500866978
0.43575083027656897,0.5790547414875924,0.7222206928111888,13,5599,,,
,,,13,5599,0.4238112909720042,0.5626555282663708,0.7160906566056578
0.4422722501709894,0.5869301465101826,0.7290632707101328,14,5999,,,
,,,14,5999,0.43530161287447877,0.5756842687151892,0.7257886829557071
0.47239234084755916,0.6211768149190582,0.7327263885074191,15,6399,,,
,,,15,6399,0.44293344474890667,0.584951540933171,0.7300791065989123
0.47431989790165574,0.6223556433424537,0.7437212997012668,16,6799,,,
,,,16,6799,0.45472805887661155,0.599205640539793,0.7358494718492574
0.45466204008077876,0.6055733952822436,0.7221695140556053,17,7199,,,
,,,17,7199,0.45838993044494264,0.6026262969942294,0.7378104743266641
0.490083208712062,0.639790119555719,0.7548442045847575,18,7599,,,
,,,18,7599,0.46534023982063605,0.6104207575552514,0.7416812193346627
0.4575457787322855,0.6109026058135341,0.7002107408311632,19,7999,,,
,,,19,7999,0.47483373803502693,0.619546177253173,0.7482590391586682
0.4830958857573371,0.6336329571957047,0.7474735878132007,20,8399,,,
,,,20,8399,0.48478362528914354,0.6289893507658844,0.7555728972720471
0.5007097493051631,0.6497497296815744,0.7525579858709265,21,8799,,,
,,,21,8799,0.48749263988192176,0.632223536269909,0.7569265128285787
0.5326523666739604,0.6795746404110322,0.777633649331552,22,9199,,,
,,,22,9199,0.4949538116873158,0.6394007607207379,0.7627113655048501
