val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.23483907259169376,0.526998733099964,0.5859700167620624,0,399,,,
,,,0,399,0.1942603159832781,0.2900388077131659,0.5066304979478682
0.22586179800291584,0.38941324939384214,0.4988139435097023,1,799,,,
,,,1,799,0.2714744853300442,0.44849113026617937,0.5846956861037139
0.33031506735300564,0.5228343013772988,0.6549024246357106,2,1199,,,
,,,2,1199,0.28815980331360175,0.47343918662099416,0.5960086320516691
0.18600742237784829,0.31795403802287653,0.5047912880226418,3,1599,,,
,,,3,1599,0.19290762069959022,0.33705743466206084,0.48949850190537775
0.18192690031550415,0.31273419785214085,0.511028692457411,4,1999,,,
,,,4,1999,0.24320840219339407,0.4093168822262613,0.5524950526068183
