val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.21872132192450483,0.36983070718843714,0.5267440601631447,0,399,,,
,,,0,399,0.19793959894360297,0.2965042750231313,0.508005485385169
0.2810001705625715,0.459958021681173,0.6092469550945141,1,799,,,
,,,1,799,0.24677558699311097,0.41589233764320926,0.5559591409169133
0.3175040757370541,0.5148424473791081,0.6256132408424661,2,1199,,,
,,,2,1199,0.2753418374355546,0.45866088742377,0.581074501653877
0.28390742758560084,0.4580047098620936,0.61364964555811,3,1599,,,
,,,3,1599,0.28742689482356776,0.4759507124381052,0.5929522244799118
0.3391962972527261,0.5438854829470449,0.6361984959355107,4,1999,,,
,,,4,1999,0.30553122570202,0.5003842741745458,0.6065906936022067
0.36044910728635915,0.5648685943271167,0.6773447019082529,5,2399,,,
,,,5,2399,0.31429734887598426,0.5113762867249431,0.6171058362477712
0.3665767999994435,0.576299685646492,0.6767714924282497,6,2799,,,
,,,6,2799,0.3316467495652076,0.5343633876718702,0.6311673807434831
0.37614959768134315,0.5897241420106513,0.6674480314607973,7,3199,,,
,,,7,3199,0.33478046292104396,0.5383395794476761,0.6339717152100804
0.38759677816070176,0.5962388026839124,0.6953404320610894,8,3599,,,
,,,8,3599,0.3535024835431868,0.5606092913835156,0.6527303698155744
0.3857256117862701,0.596176146932314,0.6869803781862612,9,3999,,,
,,,9,3999,0.3594458067553572,0.5683056462493149,0.6595762803870043
0.4064522493525249,0.6214385142747313,0.7075536604280825,10,4399,,,
,,,10,4399,0.3674003070528212,0.5771605032814507,0.6652274975549974
0.32034379809719504,0.5130465317462487,0.6508279164632161,11,4799,,,
,,,11,4799,0.37586715346953814,0.5869936738918812,0.6741774250668963
0.37544944213204434,0.5830424434926184,0.6773209430553295,12,5199,,,
,,,12,5199,0.38589217841100204,0.5989237234334831,0.6815874760551999
0.4128171640947166,0.6251718738263412,0.7140621220624005,13,5599,,,
,,,13,5599,0.38796431824411365,0.6002997373109347,0.6871733948495738
0.4291822615872143,0.6474903080855239,0.7225229333948207,14,5999,,,
,,,14,5999,0.39616453312461297,0.6100973710655785,0.6935164348865352
0.4432274645399861,0.6608923172002339,0.7313843144310845,15,6399,,,
,,,15,6399,0.40353203335119603,0.6177981552341458,0.7000785099895458
0.4361485642553653,0.6522701655331773,0.7293154734152335,16,6799,,,
,,,16,6799,0.4079404194278886,0.6230879788523727,0.7043672862867852
0.4537026969778095,0.6720395881568575,0.7446266138995136,17,7199,,,
,,,17,7199,0.41338081553619743,0.6295485568792222,0.7060220518738696
0.43374755280146876,0.6506674856688709,0.7382297498208505,18,7599,,,
,,,18,7599,0.4212443355071841,0.637595952214564,0.7145790832688669
0.45145169970262605,0.6715410309473075,0.7330625816627785,19,7999,,,
,,,19,7999,0.42373400006295314,0.6402863939946554,0.7168586066541077
0.4514867528747262,0.6694125684017845,0.7438427377630163,20,8399,,,
,,,20,8399,0.4286642305449467,0.6454936951751161,0.7204049439535761
0.46127447526016463,0.6803581183773905,0.742357838595355,21,8799,,,
,,,21,8799,0.4306392911618162,0.6473673897443533,0.723742232967486
0.44602856787981754,0.6634271296275595,0.7361003769768609,22,9199,,,
,,,22,9199,0.4411879299137761,0.6590965887862009,0.7319826863470631
0.4508452079793554,0.6690540179657383,0.7423179290912769,23,9599,,,
,,,23,9599,0.4334935635828079,0.6504773805147449,0.7264545468771038
0.47321012310746335,0.6919917620105017,0.7559290744640209,24,9999,,,
,,,24,9999,0.4455633515386813,0.6636908427040529,0.7335448286688658
0.4501599836300664,0.6675761116876517,0.7404837096178973,25,10399,,,
,,,25,10399,0.445267936950509,0.6637049444056407,0.7344473985314585
0.48535921647028013,0.704843119320992,0.7632809533013238,26,10799,,,
,,,26,10799,0.44860111594080476,0.6663925280328566,0.7406995368933396
0.47714940426940433,0.6977061158173894,0.7501943694220649,27,11199,,,
,,,27,11199,0.4605082845292327,0.6790065407857689,0.748636690990308
0.4867903516886538,0.7056452171457932,0.7654958000889531,28,11599,,,
,,,28,11599,0.4617571525698264,0.680428499183534,0.7482810461326036
0.47923959946030775,0.6978896989497191,0.7603694474255597,29,11999,,,
,,,29,11999,0.46413211631526685,0.5976352728431086,0.7508879613717759
0.4815937517527773,0.6137643566972959,0.7637272640510842,30,12399,,,
,,,30,12399,0.4660267244742683,0.5986423912437357,0.7528427328221551
0.4865336670198853,0.6172409907696195,0.7659823594269929,31,12799,,,
,,,31,12799,0.4683231303987049,0.6006962291327101,0.7570858807074217
0.49500882008516905,0.6248487571210635,0.773469732425831,32,13199,,,
,,,32,13199,0.47268690203153485,0.6049622040000167,0.7583534003363831
0.49838385606537744,0.6275259157554863,0.772746683050085,33,13599,,,
,,,33,13599,0.4708950403733258,0.6036278945470412,0.7564390025561119
0.4753810282729858,0.6078128613504225,0.7575698640611437,34,13999,,,
,,,34,13999,0.47695594060479996,0.6089501254388103,0.7613221803660107
0.4791511077144088,0.6107636514121495,0.7633911362400762,35,14399,,,
,,,35,14399,0.4817737214031202,0.6137524824133604,0.7620120802182383
0.4897959251294319,0.6205782631172985,0.7695683090775102,36,14799,,,
,,,36,14799,0.4830570221241324,0.6147464302175272,0.7658105030481248
0.49719431109759904,0.6298281115654751,0.7679784933725993,37,15199,,,
,,,37,15199,0.48130677792475596,0.6133794155060954,0.7653060812203938
0.490979426856227,0.6243040027185098,0.7688225004408095,38,15599,,,
,,,38,15599,0.49131353409080825,0.622848684236798,0.7719628802135667
0.5035058595643978,0.638616444002118,0.7715718304669416,39,15999,,,
,,,39,15999,0.4891450740055602,0.6228688276010981,0.7683243565477137
0.49915186518350907,0.6353978813252785,0.7709167745378283,40,16399,,,
,,,40,16399,0.49452481035567264,0.6281655036063962,0.7723070019963805
0.5138162737800359,0.6521895983539994,0.7777574839415373,41,16799,,,
,,,41,16799,0.500007985232049,0.6353985414288504,0.7744488711257138
0.5144495555326808,0.6557698154506335,0.7762097976825856,42,17199,,,
,,,42,17199,0.5027853787941355,0.6386639549786417,0.7773493820175555
0.5280872760162105,0.6692248539438341,0.7808385725374575,43,17599,,,
,,,43,17599,0.505853978308191,0.6436213642405194,0.7781257100039783
0.5210742831839167,0.6617403048243469,0.7850434020713524,44,17999,,,
,,,44,17999,0.5135446315453931,0.6507105673173833,0.7813706924417135
0.5358190217493028,0.6777887938179317,0.7860865628277814,45,18399,,,
,,,45,18399,0.515950647081588,0.6540071443805,0.78178926991206
0.5185257133504815,0.663856489011676,0.7692196757705123,46,18799,,,
,,,46,18799,0.5182179768759132,0.6567948853242765,0.782676494584887
0.5218355098932617,0.6676251811684772,0.7700076456423159,47,19199,,,
,,,47,19199,0.5218542045268455,0.6609630413615022,0.7849318156505783
0.5346202072025359,0.6773695818258016,0.7852885016688594,48,19599,,,
,,,48,19599,0.5261057358002754,0.6655543267310429,0.787287675057365
0.5421093625728667,0.6849005798664232,0.7849049621158176,49,19999,,,
,,,49,19999,0.5237576178727171,0.6629243977973442,0.7842390705911653
0.5311433640024282,0.6755943371144949,0.7780746654227928,50,20399,,,
,,,50,20399,0.5242371366426251,0.6644235023988683,0.7870637569896384
0.5419377273124237,0.6859194056908438,0.7872595928333423,51,20799,,,
,,,51,20799,0.5285064945652009,0.668444090963264,0.7873000966945835
0.5393694088958443,0.6838804625172157,0.7810914057272452,52,21199,,,
,,,52,21199,0.5314405094295793,0.6711197001718361,0.7918089506941293
0.5326705315979201,0.6777597008582652,0.7788625717163086,53,21599,,,
,,,53,21599,0.533843589868741,0.6732602316863687,0.7918637649256569
0.5416698163423654,0.6859590575378554,0.7824685326328984,54,21999,,,
,,,54,21999,0.5386764657144308,0.677954944730651,0.7938556677236931
0.5442152162180035,0.6878816689898354,0.7911941757908574,55,22399,,,
,,,55,22399,0.5413211034213814,0.680773800944283,0.7945246218004475
0.5518830353203559,0.694635884423499,0.7949171913994684,56,22799,,,
,,,56,22799,0.5442746021468932,0.6826968104961983,0.7970656015612763
0.5552445923766406,0.6975961910727062,0.7960547199955693,57,23199,,,
,,,57,23199,0.542534593375041,0.6816032706005919,0.796126144661936
0.5555030726792813,0.6985331375890789,0.7930463932178639,58,23599,,,
,,,58,23599,0.5463955520247519,0.6851724464315541,0.798405438534904
0.5552566045072768,0.6987758962395048,0.7945862823062473,59,23999,,,
,,,59,23999,0.5473195873775035,0.686222672288855,0.797732833204047
0.5507755393986505,0.6943909670997424,0.790837519257157,60,24399,,,
,,,60,24399,0.5536849092119027,0.6913545152208103,0.8044206037801538
0.5570582659576294,0.6998007411717218,0.7948107807724564,61,24799,,,
,,,61,24799,0.5495689502385783,0.6880428997233297,0.800178546549167
0.5591588100202147,0.7018277137144457,0.7937793943617079,62,25199,,,
,,,62,25199,0.5557993212965912,0.6941264917146561,0.8036410758107969
0.5475823840424696,0.6922898884614765,0.7890710565778944,63,25599,,,
,,,63,25599,0.5586383165206399,0.6961414944039442,0.8064936961604504
0.5623017894117353,0.704575697644466,0.7983806062627722,64,25999,,,
,,,64,25999,0.5596022706682332,0.6971929632778773,0.806710934413288
0.5560815569136195,0.6994383318167847,0.792248390339039,65,26399,,,
,,,65,26399,0.5625483026059798,0.7001166731406656,0.8088245886526821
0.5636576544279706,0.7062159637815665,0.7951620914317944,66,26799,,,
,,,66,26799,0.556994243704831,0.694512571629717,0.8058968370346569
0.5632586887505455,0.7057821774252034,0.7985788415979456,67,27199,,,
,,,67,27199,0.5650805397784324,0.7023710175105362,0.8098396794726306
0.5700182315352419,0.7113690662381117,0.8023948740076136,68,27599,,,
,,,68,27599,0.5634370036150866,0.7004960730632056,0.8092853292594611
0.561989410483471,0.704742604327905,0.7951753916563811,69,27999,,,
,,,69,27999,0.5667065851345912,0.7034707821066151,0.811472871461344
0.5668916070945028,0.7089489432204026,0.7997273038934778,70,28399,,,
,,,70,28399,0.5646306453813175,0.7017163044672061,0.8108422302690336
0.5680479798840234,0.709802318811215,0.7996225904535365,71,28799,,,
,,,71,28799,0.5706765748834124,0.7066209803735484,0.8142153989212528
0.5661195028788037,0.7085055571744738,0.7993978306099221,72,29199,,,
,,,72,29199,0.5682273665461839,0.7049727468312781,0.8131864960172934
0.5672659692822546,0.709002665223924,0.8008233759138319,73,29599,,,
,,,73,29599,0.5711675541151348,0.707472861638525,0.8132838899840877
0.5681070099706507,0.7098001239493955,0.7997612917864764,74,29999,,,
,,,74,29999,0.576640566250818,0.7120135828192204,0.8171437240093887
0.5704098986795993,0.7115588702636,0.8046910709804959,75,30399,,,
,,,75,30399,0.5706030145764118,0.7068692530952065,0.8160875257482054
0.5724514753057217,0.7137182495467564,0.8038246172445792,76,30799,,,
,,,76,30799,0.5720972260807702,0.7080335248473266,0.815320476424812
0.5668449748853092,0.7090310479222304,0.8013685950526485,77,31199,,,
,,,77,31199,0.5782617908567058,0.7137087802832902,0.8166206700780396
0.5666181377051747,0.7085286276777574,0.8016399560151277,78,31599,,,
,,,78,31599,0.5764683083501682,0.7119369536030353,0.8180345486490848
0.571354737998292,0.7126030653354634,0.8044601917266846,79,31999,,,
,,,79,31999,0.5806470430762005,0.7152698213196227,0.8210545933994458
0.5719140137247345,0.7131041380382751,0.8027447947749385,80,32399,,,
,,,80,32399,0.5779277851352306,0.7130036211185277,0.8190150959721126
0.5717076044200669,0.7127482562454623,0.8040553004653366,81,32799,,,
,,,81,32799,0.5791543388577411,0.7140793352242356,0.8204552244764907
0.5750721691139611,0.7155932008286428,0.8060640547010633,82,33199,,,
,,,82,33199,0.578337262024485,0.7137318109015766,0.8189573348953915
0.5703904954492083,0.7117935662032199,0.8028492539017289,83,33599,,,
,,,83,33599,0.5827200605349709,0.7172291569956544,0.8213300864881639
0.5746481861215849,0.7154479725676446,0.8054054330896449,84,33999,,,
,,,84,33999,0.5781490851403297,0.7133964401517824,0.8195659023369289
0.5702213161420548,0.7115792249879318,0.8023917851624666,85,34399,,,
,,,85,34399,0.5835654276725846,0.7182036733323638,0.8224618728944612
0.5729238888594905,0.7139184034347231,0.8044312247523555,86,34799,,,
,,,86,34799,0.578519128227331,0.7133532330210136,0.8205441048038421
0.5736912706076744,0.7144604810411208,0.8035325068014639,87,35199,,,
,,,87,35199,0.5846865285674614,0.7184962056593044,0.8245265120051699
0.5757856209453192,0.7163479549041936,0.806582874721951,88,35599,,,
,,,88,35599,0.5846921996649896,0.7182428464044004,0.8247516251781775
0.5773166865735015,0.7176765367822728,0.8064921961890327,89,35999,,,
,,,89,35999,0.5874395205065908,0.7219295621504811,0.8239640624791639
0.5747178537859632,0.715418964851529,0.8062824708444101,90,36399,,,
,,,90,36399,0.5821072833786862,0.7161336151171536,0.8236944919272864
0.5768746632209417,0.7173616576908128,0.8064125255302147,91,36799,,,
,,,91,36799,0.5853595748621896,0.7191717244341005,0.8244712574409828
0.575357662465825,0.7159692754544051,0.8060651726192898,92,37199,,,
,,,92,37199,0.5801383354882104,0.7152896397781263,0.8201643722461569
0.5766444641766701,0.7171627039891519,0.806048114211471,93,37599,,,
,,,93,37599,0.5876551227954363,0.7208801994236846,0.8248818436592702
0.5762955164312558,0.7168281037923809,0.8060845834237558,94,37999,,,
,,,94,37999,0.5854638567850821,0.7193691960552235,0.8244606642531798
0.5791875368492693,0.7191719007343972,0.8077556168591534,95,38399,,,
,,,95,38399,0.5836545826187125,0.717225126994044,0.8240881232443185
0.5758594136661082,0.7163121436378723,0.8066667662726508,96,38799,,,
,,,96,38799,0.5886604429630902,0.7219298249345669,0.8252025595307368
0.5761907187217428,0.7166411593457462,0.806523123493901,97,39199,,,
,,,97,39199,0.5833893433559254,0.7180920230771961,0.8214823596518701
0.5753351289982032,0.7158922800458167,0.8061786369041161,98,39599,,,
,,,98,39599,0.5792294589084648,0.7139221094064819,0.8200148551929429
0.5739541345993747,0.7148166201211094,0.8059062216016981,99,39999,,,
,,,99,39999,0.5870641845135637,0.7199446265960571,0.825030925701835
