val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.20496111708005085,0.48490870929006674,0.5192100154028998,0,399,,,
,,,0,399,0.19408986945328494,0.28957900260774,0.5046634832029602
0.32566037998368136,0.5168875840000322,0.6516941247162995,1,799,,,
,,,1,799,0.2630073102148307,0.433391854499551,0.579905912986318
0.361560868214815,0.5618754060523086,0.6805030840414542,2,1199,,,
,,,2,1199,0.3222164066395202,0.5182946835809334,0.6282617334633014
0.35023100122084017,0.5443853870563731,0.6824696470189977,3,1599,,,
,,,3,1599,0.35139577106651165,0.5549569592705836,0.6578195106673773
0.41477330554459657,0.6208203430264517,0.7303300822222675,4,1999,,,
,,,4,1999,0.38250676084442364,0.591995062738228,0.6833860251075333
0.46193042822263297,0.6796803788414864,0.7456891342445656,5,2399,,,
,,,5,2399,0.4041240816187164,0.6153307776803698,0.7073061241138822
0.4351978605158614,0.6461081430807871,0.7418441383926957,6,2799,,,
,,,6,2799,0.4225634527039186,0.6357698980785997,0.7235480210122485
0.4791503492230681,0.6966103398808132,0.7641785886552599,7,3199,,,
,,,7,3199,0.43923610354084863,0.6540547888038851,0.7355124984380378
0.48390398010686264,0.7000429809724326,0.7683300230238173,8,3599,,,
,,,8,3599,0.4561282491540876,0.671981768037596,0.7502416212320286
0.45089076341015855,0.6702151747619665,0.7216241483335142,9,3999,,,
,,,9,3999,0.46943218568153167,0.6849497723942628,0.7633723662368329
0.5162380452270797,0.7346116605752859,0.7842494293495461,10,4399,,,
,,,10,4399,0.4798726774280827,0.6959045174520629,0.7686097241977976
0.5199021282225583,0.7376539733306968,0.7858175313031232,11,4799,,,
,,,11,4799,0.4888309798853116,0.7052475695613126,0.775438524075283
0.5238271929331275,0.7421885119687873,0.7919552608772561,12,5199,,,
,,,12,5199,0.5020872629875144,0.7183020037093032,0.7850812964171026
0.4647086212460205,0.6788412020813587,0.7482442749871148,13,5599,,,
,,,13,5599,0.5103031745347737,0.7255878368294956,0.7931005001976631
0.5240692035501919,0.7422771640098722,0.7908131122589112,14,5999,,,
,,,14,5999,0.5183576188747052,0.733917886397237,0.7986395831607741
0.5135737733689161,0.7303317957521607,0.7852315938031232,15,6399,,,
,,,15,6399,0.5222014363862508,0.6450885540180338,0.8020255121055782
0.5408586752285429,0.6626124371921513,0.8081138292948405,16,6799,,,
,,,16,6799,0.526702613101615,0.649504420050882,0.8037773585530219
0.5366146679711168,0.6586332324886708,0.8013332437585902,17,7199,,,
,,,17,7199,0.5399559160568628,0.66002217422733,0.8129652833871688
0.5479526217275503,0.6710546041096984,0.80712325308058,18,7599,,,
,,,18,7599,0.5466909307466615,0.6656821570424565,0.8211055983367261
0.5797583867542289,0.7075135238365213,0.8171642215163619,19,7999,,,
,,,19,7999,0.5572494708365969,0.6798576534693813,0.8209204169784012
