val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.21820950748297388,0.5109394751350816,0.5474332456235532,0,399,,,
,,,0,399,0.19568285427046614,0.2920281442110237,0.50486231044509
0.32560933278119747,0.517087843116778,0.6498494536788375,1,799,,,
,,,1,799,0.26430287722160906,0.43649593523752594,0.5790338530834914
0.3534500972256402,0.5543146034562448,0.659473631117079,2,1199,,,
,,,2,1199,0.3184400113462709,0.514053010121648,0.6243783537291476
0.327050371395138,0.5115723709299764,0.6662888897789849,3,1599,,,
,,,3,1599,0.3502553173365957,0.5535988090116226,0.6566116619523817
0.3999573603559515,0.6088323033656913,0.701889055746573,4,1999,,,
,,,4,1999,0.38034231598661783,0.5885829930030427,0.6830116736314286
0.44180773123119044,0.6560377780223318,0.7387265947129992,5,2399,,,
,,,5,2399,0.4055544203675526,0.6172158168682292,0.707907586958811
0.42247428722250446,0.6283649602953805,0.7306048216643157,6,2799,,,
,,,6,2799,0.4263217794730153,0.6395184324317204,0.7263673005085153
0.4719384104809915,0.687763998935247,0.7608198925300881,7,3199,,,
,,,7,3199,0.44552739346059445,0.6603998623870252,0.7401010202051594
0.47223263837067453,0.6897725545705334,0.7464262061648899,8,3599,,,
,,,8,3599,0.4674071851488439,0.6827528160606909,0.7598533779893434
0.4721998717303351,0.6894835860737304,0.7517592288829662,9,3999,,,
,,,9,3999,0.4733847209416752,0.688659379970489,0.7657235725452491
0.5183145592625238,0.7340373045493747,0.7953016793286359,10,4399,,,
,,,10,4399,0.48438433876430725,0.699974255175129,0.7733344042782206
0.5166933662677502,0.7346832268921967,0.7813663570969193,11,4799,,,
,,,11,4799,0.49616462513952786,0.7119909368793376,0.7807785129471844
0.534950430912611,0.7509733129107597,0.803548131165681,12,5199,,,
,,,12,5199,0.5093184056764193,0.7255373271888637,0.7889477001249456
0.5117370956402794,0.730389148920994,0.7742165371223733,13,5599,,,
,,,13,5599,0.5191961190621901,0.7343761806844967,0.7989752565196804
0.5403798183160952,0.7557604411879952,0.8093496040061668,14,5999,,,
,,,14,5999,0.5244029615806527,0.7393984095300438,0.803708944976032
0.4945255758157057,0.7110398072291056,0.7742875364091661,15,6399,,,
,,,15,6399,0.5321720681892961,0.7467942704368229,0.8082168053557327
0.5401936451529584,0.6611588154043622,0.8077608214484321,16,6799,,,
,,,16,6799,0.5385801072837141,0.65925466098654,0.8119470810100775
0.5430791148989909,0.6644339607599941,0.8013958825005425,17,7199,,,
,,,17,7199,0.5492921144051524,0.6672672512846869,0.8207066706181211
0.5629416030896954,0.6902416849600768,0.8147674172012894,18,7599,,,
,,,18,7599,0.5604419376642662,0.6800686355290808,0.8251085518771523
0.5560999912155433,0.691890791929774,0.7965367476145426,19,7999,,,
,,,19,7999,0.5717484618778877,0.6948150664489764,0.8271186641429663
0.5778330430758096,0.7112047156691981,0.813876971492061,20,8399,,,
,,,20,8399,0.5836913248352785,0.7073220363240329,0.8333288229533921
0.579440126105816,0.7133963283132887,0.8204684010258427,21,8799,,,
,,,21,8799,0.58935505855611,0.7139582487164831,0.8365682312105929
0.5804364863581665,0.7171028915448684,0.8085839607097485,22,9199,,,
,,,22,9199,0.59909165636998,0.7230665312254245,0.8411052386595868
0.5881222590943305,0.7243123798945952,0.8201569857420745,23,9599,,,
,,,23,9599,0.5993584811399412,0.7250158787118073,0.8394487895757925
0.5845438348722897,0.7210702045259936,0.8215189280333343,24,9999,,,
,,,24,9999,0.6124218970236421,0.7365319993678814,0.8469445039963347
0.5851956592413509,0.7215516131370978,0.8234444229691117,25,10399,,,
,,,25,10399,0.6143200187444291,0.7397725630395839,0.8450761743445453
0.6174314093025602,0.7489522453369237,0.835388598618684,26,10799,,,
,,,26,10799,0.622474013830906,0.7455979478316181,0.8538935201781926
0.6175348222125872,0.7502592702809194,0.8297270050755253,27,11199,,,
,,,27,11199,0.6343128146667641,0.7558926924085606,0.8579722977721158
0.6164870801285744,0.74743876400026,0.8314188568680375,28,11599,,,
,,,28,11599,0.6362257741509088,0.7580553345448531,0.8581534678095313
0.5994743913904848,0.7356392614194742,0.8244303720968741,29,11999,,,
,,,29,11999,0.6410878154438082,0.7620866215048137,0.8611016760121568
0.6061120408499221,0.7410582830867394,0.8296400829597755,30,12399,,,
,,,30,12399,0.6410989803663396,0.7629098375278358,0.8576423939382726
0.6175125161800912,0.7518041661823558,0.8227883409570764,31,12799,,,
,,,31,12799,0.6451962948944266,0.7661006247107885,0.863388596421035
0.6223388725461213,0.7558733382866233,0.8283493324562355,32,13199,,,
,,,32,13199,0.6566304082201703,0.7752625708221854,0.8684872789262593
0.6091536076224277,0.7448229381773701,0.823928995485659,33,13599,,,
,,,33,13599,0.6560618406201584,0.7747764057216588,0.8670112984668293
0.628704949895285,0.7593586059411683,0.8359473087169506,34,13999,,,
,,,34,13999,0.6576354348400931,0.7762662530367117,0.8685271832089677
0.6300177141382147,0.7616829792615343,0.8366299823478416,35,14399,,,
,,,35,14399,0.6651308732536534,0.7824608005726567,0.871154791532065
0.6355231834235961,0.7663744042174552,0.8352238072289361,36,14799,,,
,,,36,14799,0.6671937491956325,0.783899357791573,0.8728637863271363
0.5700352187273322,0.715612771283393,0.7509259948024043,37,15199,,,
,,,37,15199,0.6677055394452465,0.7839423850981946,0.8746135216523409
0.6262045878408615,0.7599335280398196,0.828196868190059,38,15599,,,
,,,38,15599,0.6756962978070604,0.7902070279149331,0.8777855494109988
0.6221862055255137,0.7565700066430321,0.8345165729522706,39,15999,,,
,,,39,15999,0.6736119656432162,0.788847737801998,0.8762331858184874
0.6151291992428212,0.7513602050564009,0.8230767108775952,40,16399,,,
,,,40,16399,0.6800868436940017,0.7937685407582168,0.8797567906379671
0.6224358346597609,0.7578412295880521,0.8169280228791413,41,16799,,,
,,,41,16799,0.6841375601276618,0.7965621615462655,0.8822727655670346
0.6397171742139549,0.7704907455245452,0.8454932371775309,42,17199,,,
,,,42,17199,0.6913578321821163,0.8025420159078043,0.885633274965696
0.6401831976622796,0.7712113375383658,0.840039931403266,43,17599,,,
,,,43,17599,0.6868467058037542,0.7989001841172028,0.8832701677148498
0.631120770578862,0.7620593444814485,0.8404956552717421,44,17999,,,
,,,44,17999,0.6920475467193514,0.8032615119876002,0.885063122412313
0.6419927248708462,0.7723908953084295,0.8393695919602006,45,18399,,,
,,,45,18399,0.698894416988247,0.808208444873579,0.8884737291140156
0.6379402018687058,0.7692252263723717,0.8412045266893174,46,18799,,,
,,,46,18799,0.7051329777123811,0.812501435107028,0.8920507642376448
0.6371498668841858,0.768939914163906,0.8369362972400807,47,19199,,,
,,,47,19199,0.7036538306726561,0.8121571967938319,0.8909239734108843
0.6404849267814259,0.7705671355548795,0.8420908768971761,48,19599,,,
,,,48,19599,0.707454419355117,0.814982994127773,0.8901399314614545
0.6567807300898424,0.7837890129420564,0.8449267087159333,49,19999,,,
,,,49,19999,0.708544367458722,0.8155995406642964,0.8906587770027903
0.6489351315549496,0.7780258941891702,0.8437850492971914,50,20399,,,
,,,50,20399,0.7129814056056338,0.8187206216669487,0.895118723756346
0.649252420128434,0.7774831683568222,0.847553844805117,51,20799,,,
,,,51,20799,0.7142501118285265,0.8201187539952867,0.8941666976986198
0.6475484298864764,0.776428049092627,0.8517310442747893,52,21199,,,
,,,52,21199,0.7165990630293355,0.8215247676159734,0.8961380249051678
0.650208048645031,0.7785568202059598,0.8470125993092855,53,21599,,,
,,,53,21599,0.7195668399094085,0.8231824991147018,0.898409322105363
