val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.24725098257303213,0.46764651716690375,0.5887100908491346,0,399,,,
,,,0,399,0.19753282933893754,0.29382379207440734,0.5119216610808963
0.29819794112608083,0.4813327545529788,0.6230901965388546,1,799,,,
,,,1,799,0.26465160307002633,0.43405232930063875,0.5812349253977467
0.3363864436657169,0.5321091761185193,0.6528803772396512,2,1199,,,
,,,2,1199,0.3121329918386635,0.5024029817685569,0.6222744488330945
0.3516933098233267,0.543141074657137,0.6737898897241663,3,1599,,,
,,,3,1599,0.34843178240586403,0.5502266094406518,0.6559626327416225
0.41947352708737196,0.6326619382451126,0.7128708627488878,4,1999,,,
,,,4,1999,0.3737894444254777,0.5807400437237035,0.6767736862244832
0.47270216371472285,0.6903972440975138,0.756935939082393,5,2399,,,
,,,5,2399,0.39937343248544255,0.6098665730562491,0.7021204767408438
0.42574246408448346,0.6378280520296233,0.7265444472984032,6,2799,,,
,,,6,2799,0.4213597868241801,0.6345068836175959,0.7206397046398418
0.46396816244896955,0.6813250510307329,0.7518396359902841,7,3199,,,
,,,7,3199,0.44085360582585204,0.6558736876115026,0.7355434926867112
0.48727245899976696,0.7069144397398298,0.749614433006004,8,3599,,,
,,,8,3599,0.4603125117035783,0.6762616281672099,0.7523410812476589
0.5082411579061178,0.7266243345211821,0.7829343460224293,9,3999,,,
,,,9,3999,0.470218508562916,0.685730584024296,0.7627216694108623
0.4920373677146478,0.7113930790490753,0.7677304214901395,10,4399,,,
,,,10,4399,0.4869608550791117,0.7026521649140116,0.7737976422936724
0.5214705286616386,0.7387522374752898,0.7919338685494882,11,4799,,,
,,,11,4799,0.49822655415478667,0.7144545500324497,0.7818367693682513
0.5188680427793059,0.736079178684264,0.7920907762315538,12,5199,,,
,,,12,5199,0.5106378747016534,0.7265846327997048,0.7903857958965967
0.5071325738438246,0.7248765025292867,0.7798858448311135,13,5599,,,
,,,13,5599,0.515731193534108,0.7311432329294563,0.7963932838843819
0.5302116310511152,0.7465658429186272,0.805931352685999,14,5999,,,
,,,14,5999,0.5268077498342394,0.7418116645199296,0.8046095260302208
0.5311224507460974,0.7484669270747488,0.7954922163927997,15,6399,,,
,,,15,6399,0.5357054302800434,0.750391271993535,0.8101339800903611
0.5453955062841687,0.7616316884966323,0.8060143541406702,16,6799,,,
,,,16,6799,0.5372539098152014,0.7520769605791175,0.8113243147249354
0.5156042931427036,0.6391966556188355,0.791525086650142,17,7199,,,
,,,17,7199,0.5503799298903461,0.6687375181207559,0.8185858258675957
0.5545327146121415,0.6734992893969602,0.8161877067000778,18,7599,,,
,,,18,7599,0.5552052857983988,0.6727341377472543,0.8236321832121714
0.5589070451839572,0.680615770746722,0.8156907222889088,19,7999,,,
,,,19,7999,0.5647836265366659,0.681126677558856,0.827457123699504
0.556199552061508,0.6873517950850738,0.8044833253931116,20,8399,,,
,,,20,8399,0.5761295500853625,0.6950182262594073,0.8326042149429138
0.5704575079273309,0.7039373541537457,0.8153613796940556,21,8799,,,
,,,21,8799,0.5910281436076761,0.7122884381221447,0.8386720900608966
0.5671828450239431,0.7021894508374212,0.8137566177933304,22,9199,,,
,,,22,9199,0.5998290431307953,0.7206191115767009,0.8414973166230058
0.5960269265194029,0.7282812124218537,0.824422875157109,23,9599,,,
,,,23,9599,0.5997463478693867,0.7232934114516867,0.8403898575974956
0.5933612996254669,0.7273274654987355,0.8261375568531177,24,9999,,,
,,,24,9999,0.6118154289803437,0.7344214013710362,0.8470944377747002
0.5880702668739157,0.7235341588136938,0.8214573877829092,25,10399,,,
,,,25,10399,0.618346885509484,0.741193437135361,0.8494449111673242
0.5995658864170619,0.7340942532090924,0.8252235483240198,26,10799,,,
,,,26,10799,0.6245727520872182,0.7456320146177686,0.8555581694712998
0.6216495974257396,0.7521250512088393,0.8342761958086932,27,11199,,,
,,,27,11199,0.6303519050804536,0.7517905968169387,0.8549569171021223
0.5946843958482289,0.7297246496374675,0.8143311306282326,28,11599,,,
,,,28,11599,0.6370174601034064,0.7576425523388678,0.8581894498289228
0.5933263454081816,0.7262152064422379,0.8264126512739394,29,11999,,,
,,,29,11999,0.6372388110079716,0.7585311900818252,0.8590706731119816
0.6137321000879692,0.745283447695097,0.834190324500755,30,12399,,,
,,,30,12399,0.6445390924852329,0.764775901137354,0.8604123262509094
0.6173644518093416,0.7493394781466196,0.829028050104777,31,12799,,,
,,,31,12799,0.6499890718024721,0.7688867530600617,0.8662618868177993
0.6088819052370761,0.7435021780985989,0.8225007851918539,32,13199,,,
,,,32,13199,0.6580520821512106,0.7757562513249999,0.8695804374355603
0.6238218018467969,0.7537926975476874,0.8350369912606699,33,13599,,,
,,,33,13599,0.6544229785720872,0.7728891481950524,0.8668485637560427
0.615674130003907,0.7483251043227263,0.8279235398327863,34,13999,,,
,,,34,13999,0.6659120394169913,0.782043205657143,0.8718815123671183
0.6323461038682223,0.7626020830341134,0.8420506318410238,35,14399,,,
,,,35,14399,0.6686060271221029,0.7842126590147839,0.8735362552144175
0.6330431239684692,0.7638058594718142,0.8363969131752297,36,14799,,,
,,,36,14799,0.6695227646461244,0.7853527041863785,0.8727736844999144
0.6335935293211927,0.7635387994895318,0.835358715057373,37,15199,,,
,,,37,15199,0.6731054634959617,0.7875194878999896,0.8768817258649083
0.6369106749773625,0.7672157144804148,0.8352291813603154,38,15599,,,
,,,38,15599,0.6808724056530213,0.793459257247281,0.880290240592026
0.6349231203345136,0.7659173288111738,0.8352661750934742,39,15999,,,
,,,39,15999,0.6790810101723092,0.7926120088560433,0.8779818138112959
0.5731350778923503,0.7162677282456354,0.8064729125411422,40,16399,,,
,,,40,16399,0.6855928982132187,0.7973471563824166,0.8823139779534457
0.6296424084945677,0.7630165277126905,0.8279305034213595,41,16799,,,
,,,41,16799,0.6915984994589064,0.8019601539944096,0.8855063207195952
0.6349095638941478,0.7656738772258768,0.839141430678191,42,17199,,,
,,,42,17199,0.6941911839170082,0.8044159956840136,0.8862803306266488
0.6427926606864816,0.7725166976446689,0.8398083863434969,43,17599,,,
,,,43,17599,0.6920708026456621,0.8029378450979774,0.8849882396973536
0.6529137097729787,0.7794569760586959,0.8457661452116789,44,17999,,,
,,,44,17999,0.6995871511522257,0.808284330799226,0.8885592518907613
0.6584289482696093,0.7839358080125645,0.8469799783494737,45,18399,,,
,,,45,18399,0.706745698364923,0.8133486259390226,0.8912537549576478
0.6340237935652153,0.7646616613594,0.840643635502568,46,18799,,,
,,,46,18799,0.7080828883520314,0.8144139311613163,0.8933138214436996
0.6444556172071143,0.7734924518422306,0.8451949490441216,47,19199,,,
,,,47,19199,0.7091746410379214,0.8158036053263585,0.8925073316876052
0.6490727392531953,0.7772225300941562,0.8461991875259964,48,19599,,,
,,,48,19599,0.7120827218569505,0.8179427198977471,0.8940425018588556
0.6522242806583406,0.7790055826380551,0.8509179733417652,49,19999,,,
,,,49,19999,0.71209604125828,0.817633859942075,0.8934568952461014
0.6493003657564441,0.7777395443080881,0.8436497388062654,50,20399,,,
,,,50,20399,0.7139035578839674,0.8194571222515837,0.8960225591058965
0.6540224247033726,0.7815677075253549,0.8456949057402434,51,20799,,,
,,,51,20799,0.7182068481054092,0.8226282335397934,0.8967774804289267
0.6520984679565154,0.7792905395574623,0.8489972856309679,52,21199,,,
,,,52,21199,0.7231813726234865,0.8263763123674496,0.8983473947089092
0.6469292019911339,0.7744734237096087,0.8465099652608236,53,21599,,,
,,,53,21599,0.7216630000630893,0.8249828802598043,0.8981040404068944
0.6417083120000933,0.7724828949671864,0.8324265515362775,54,21999,,,
,,,54,21999,0.7246275343952351,0.8270081262525838,0.9004173647229127
