epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,199,,,,0.49783384799957275,0.5502527356147766,0.21510782837867737
0,199,0.3132825195789337,0.5294658541679382,0.2125941812992096,,,
1,399,,,,0.48857831954956055,0.6363888382911682,0.30574744939804077
1,399,0.46650058031082153,0.6145752668380737,0.288716197013855,,,
2,599,,,,0.5402205586433411,0.6848640441894531,0.34989145398139954
2,599,0.5200697183609009,0.643621027469635,0.326106995344162,,,
3,799,,,,0.616416871547699,0.7113397121429443,0.4043040871620178
3,799,0.568339467048645,0.6716460585594177,0.3628741204738617,,,
4,999,,,,0.672450065612793,0.7465870380401611,0.4557977616786957
4,999,0.5958387851715088,0.6887410879135132,0.3854110836982727,,,
5,1199,,,,0.6364103555679321,0.7357608079910278,0.42555907368659973
5,1199,0.6294431686401367,0.7162027955055237,0.41536787152290344,,,
6,1399,,,,0.6804298162460327,0.7523229122161865,0.46181240677833557
6,1399,0.6507728099822998,0.7320337295532227,0.43469342589378357,,,
7,1599,,,,0.7130770683288574,0.7751376032829285,0.4951854348182678
7,1599,0.6718934774398804,0.7471532821655273,0.4549839496612549,,,
8,1799,,,,0.6923449635505676,0.7666502594947815,0.47572532296180725
8,1799,0.6957557797431946,0.7645713686943054,0.477960467338562,,,
9,1999,,,,0.7371927499771118,0.7908732295036316,0.518599808216095
9,1999,0.7089669704437256,0.7742279767990112,0.4911321997642517,,,
