val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.24704282079498777,0.5521433300602209,0.5924419756288881,0,399,,,
,,,0,399,0.20037622278631897,0.298076074991556,0.5128408759113341
0.31288190451429587,0.48684965416781384,0.6556550184885661,1,799,,,
,,,1,799,0.26092696065881676,0.42744139677409354,0.5835255684114826
0.39499997942486476,0.6041232163568738,0.694904687669542,2,1199,,,
,,,2,1199,0.3181531540727356,0.5065132447593153,0.6333656610840639
0.4110913780016862,0.6183895393878196,0.7220420961026792,3,1599,,,
,,,3,1599,0.3599519786699097,0.5633637927785125,0.667373562459014
0.42323515098315984,0.6399620958480405,0.70447858704461,4,1999,,,
,,,4,1999,0.3935102120451126,0.6016774738409777,0.6994832637106184
0.4636074150864897,0.6812706471537037,0.7575310265576398,5,2399,,,
,,,5,2399,0.4139200454482092,0.6239640675809912,0.7177081874430937
0.4473327862980294,0.665725735754987,0.7441011234566017,6,2799,,,
,,,6,2799,0.4390374164657043,0.6521839789133715,0.7372619684689549
0.4912914791452708,0.7063533579714975,0.7802520398740416,7,3199,,,
,,,7,3199,0.45743489941507337,0.6725238347253032,0.7508029505559123
0.5017070054293384,0.7204284852723466,0.7700467003716363,8,3599,,,
,,,8,3599,0.4796035764795791,0.6948723681031658,0.7686149801136631
0.500751815111729,0.7188650985083588,0.7686655503732187,9,3999,,,
,,,9,3999,0.49019599841936756,0.7058802048453526,0.7789543972817402
0.4812183488348442,0.6960560041860521,0.7553445745397497,10,4399,,,
,,,10,4399,0.5016764335574078,0.7174835573440991,0.7858943906290893
0.5122504243209132,0.7310937909637559,0.7785941300568757,11,4799,,,
,,,11,4799,0.5140008821985191,0.7301063645817197,0.7915276049292024
0.5334358214196657,0.7492719634148708,0.8027254652093958,12,5199,,,
,,,12,5199,0.5069678960237695,0.7234241323010036,0.7878971791967974
0.5216913114673412,0.7402473075239447,0.7814831309848361,13,5599,,,
,,,13,5599,0.5291158578567303,0.7443039504889954,0.8046755184483334
0.5317770887521306,0.7504482591641332,0.7867082277933757,14,5999,,,
,,,14,5999,0.5361503504869749,0.7507303957011817,0.810664772879522
0.5450304934949703,0.7604958192047855,0.8106790560263174,15,6399,,,
,,,15,6399,0.5431666611459578,0.7578236171401428,0.811999458023549
0.5417879463808988,0.6626095437805762,0.8117794743290654,16,6799,,,
,,,16,6799,0.547376474684401,0.6662828073400093,0.8193101737553381
0.5241280494791766,0.6503120057875246,0.8025852062084057,17,7199,,,
,,,17,7199,0.5607119189539648,0.6771852172175774,0.8272700737987237
0.5182698053609931,0.6512139956943053,0.7716387748718262,18,7599,,,
,,,18,7599,0.564986575178227,0.6829578717639584,0.8250459756608726
0.49980465041200917,0.6326238896862127,0.7908800513656051,19,7999,,,
,,,19,7999,0.5812150016189768,0.6988246721886385,0.8373064871857123
0.5427230788982738,0.6777253105473364,0.8036616413681595,20,8399,,,
,,,20,8399,0.5871677006959743,0.7082986062403869,0.8360376171207262
