val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.2548242735027676,0.5692199719619352,0.5952365504370796,0,399,,,
,,,0,399,0.20118397641550134,0.29885617103260864,0.5140370018871537
0.32630766894457713,0.5128304180171145,0.6534299620875605,1,799,,,
,,,1,799,0.27024507429195144,0.444143628770384,0.5862162015475803
0.4062692763638064,0.6166371339250801,0.7077914061369719,2,1199,,,
,,,2,1199,0.3262861564178569,0.5225038022257488,0.6315964720560671
0.3746548020802072,0.5720431594979322,0.6977970405861184,3,1599,,,
,,,3,1599,0.3604359954467925,0.5655516476226424,0.6643149050220416
0.41875018983540013,0.6332392735659604,0.7147788648252134,4,1999,,,
,,,4,1999,0.39086286240835466,0.5991742842840292,0.6959978799954445
0.45557189626708183,0.6736142274330149,0.7438833625228317,5,2399,,,
,,,5,2399,0.41218124842366366,0.6229950353881132,0.7133933699421072
0.4576666421639225,0.6765884256799908,0.7434505109433774,6,2799,,,
,,,6,2799,0.43345880656857494,0.6468433243977926,0.7321119951614086
0.48756597290472997,0.7033152236359991,0.7802584453865334,7,3199,,,
,,,7,3199,0.4494666182107659,0.6646432173958213,0.7438669877799311
0.4948386391427284,0.7117046101717053,0.7754166267536304,8,3599,,,
,,,8,3599,0.46908003057186376,0.6839223062027561,0.7605962628167537
0.5049066046948283,0.7236419232735696,0.7724616386272289,9,3999,,,
,,,9,3999,0.47960274954467913,0.6951461800339486,0.7709948198630542
0.5080317582249863,0.7246542211384333,0.7827937797263816,10,4399,,,
,,,10,4399,0.49237521353670544,0.7084189628773405,0.7787245662306298
0.5177682792922615,0.7366540123098438,0.7865926795535617,11,4799,,,
,,,11,4799,0.5034844646422638,0.7193884946250232,0.7859311757037888
0.5263910168566683,0.7449308623133873,0.7872464109350134,12,5199,,,
,,,12,5199,0.5033469631238454,0.7197532726062544,0.784933406057766
0.5191407966049412,0.7389792505259469,0.7743375601591888,13,5599,,,
,,,13,5599,0.5178236746232099,0.7333867265183981,0.7972694134120153
0.503282572776978,0.7219895249224473,0.7651795051715992,14,5999,,,
,,,14,5999,0.5282384963722376,0.7428821874071222,0.8064796134744151
0.5338719739738148,0.7493991603076767,0.8054075664944119,15,6399,,,
,,,15,6399,0.5331994189090736,0.7486386143315045,0.8044278664377664
0.5481324246104122,0.7630381299553735,0.8136907135998761,16,6799,,,
,,,16,6799,0.5382110923520276,0.7524921811058912,0.8148477784071658
0.540342103842728,0.7564901926435217,0.8095452661867495,17,7199,,,
,,,17,7199,0.5519522420600482,0.7654313679599954,0.8219951402899572
0.5288608678384283,0.7444245856572907,0.8040755307232892,18,7599,,,
,,,18,7599,0.5586372964307277,0.7720572000615953,0.8232516358103724
