val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.21994890954609506,0.49183292324463634,0.5782398382822672,0,399,,,
,,,0,399,0.17134957860294453,0.258406292177881,0.4817075541575132
0.2591623372898394,0.47887770730596446,0.6101280441990605,1,799,,,
,,,1,799,0.22099978775933266,0.5080857618433758,0.5514312495228579
0.3089251323093738,0.48412850784388384,0.6457965603581182,2,1199,,,
,,,2,1199,0.2749735304480629,0.451396951848738,0.586890478566137
0.2928645172151021,0.46055040843304446,0.6289791937227602,3,1599,,,
,,,3,1599,0.29407199167021614,0.47605632959823135,0.6064755683873763
0.3332646216528964,0.5204471793022424,0.6444472401230423,4,1999,,,
,,,4,1999,0.31528796187676766,0.5045500667659109,0.6252556912476519
0.40087305275385754,0.6119588259700077,0.7025385874289053,5,2399,,,
,,,5,2399,0.3344184144323002,0.5314192844672305,0.6398638055753986
0.401853966530295,0.6190466835696032,0.6971788265086987,6,2799,,,
,,,6,2799,0.35820054113131483,0.5625364504783029,0.6601110077676053
0.427825272054297,0.6428381932316525,0.719694686819006,7,3199,,,
,,,7,3199,0.37341538438485744,0.5827277314263837,0.6702956536756475
0.41911466174123907,0.6356480551001982,0.6957577899650291,8,3599,,,
,,,8,3599,0.38294043924855337,0.5942433076483059,0.6761487130352286
0.4355181768565992,0.6538599429629911,0.707856379614936,9,3999,,,
,,,9,3999,0.3993523209619892,0.6125507364484292,0.6957961637976653
0.45736318483663363,0.675477137263761,0.7408204237620036,10,4399,,,
,,,10,4399,0.41125187556897297,0.6258616553050802,0.7030577847105791
0.45392189608464184,0.6728663992622558,0.7275131207925302,11,4799,,,
,,,11,4799,0.4137553044626063,0.6290192904861963,0.7031478876416911
0.4643755300227836,0.6841785316202115,0.7407266475536205,12,5199,,,
,,,12,5199,0.42099756516856146,0.6369971733366251,0.7111598565309941
0.45070898929246667,0.6680416023710883,0.7384511435473406,13,5599,,,
,,,13,5599,0.4335701007154591,0.6505375592176242,0.7215103311361899
0.4698331803900887,0.6886331303612442,0.75121185514662,14,5999,,,
,,,14,5999,0.44729247622864465,0.6645691689111166,0.7345818807688383
