epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,199,,,,0.37383589148521423,0.5516873002052307,0.22492484748363495
0,199,0.3453325927257538,0.5531837344169617,0.23671378195285797,,,
1,399,,,,0.5434418320655823,0.6773596405982971,0.34695306420326233
1,399,0.4938904643058777,0.6133167147636414,0.3040490746498108,,,
2,599,,,,0.529852032661438,0.6560676097869873,0.3370756208896637
2,599,0.5374429225921631,0.6378216743469238,0.3345763385295868,,,
3,799,,,,0.5949004292488098,0.6902379393577576,0.3844762444496155
3,799,0.5670570731163025,0.6566548347473145,0.35772407054901123,,,
4,999,,,,0.6625522971153259,0.7129106521606445,0.4418272078037262
4,999,0.5866504907608032,0.6689656972885132,0.37390294671058655,,,
5,1199,,,,0.6364275217056274,0.6979072690010071,0.4166318476200104
5,1199,0.6175600290298462,0.6894968748092651,0.39986544847488403,,,
6,1399,,,,0.6109326481819153,0.6776435375213623,0.39758479595184326
6,1399,0.6285274624824524,0.7009338736534119,0.41023242473602295,,,
7,1599,,,,0.6574962139129639,0.7390930652618408,0.4405691921710968
7,1599,0.6424321532249451,0.7082163691520691,0.42307615280151367,,,
8,1799,,,,0.6400198340415955,0.743895947933197,0.4328368604183197
8,1799,0.6512708067893982,0.7161550521850586,0.431118905544281,,,
9,1999,,,,0.6766852736473083,0.7279217839241028,0.4573999345302582
9,1999,0.6672779321670532,0.7295315861701965,0.4465467929840088,,,
10,2199,,,,0.6932078003883362,0.7403573989868164,0.4710521101951599
10,2199,0.6746147274971008,0.7358495593070984,0.4540904760360718,,,
11,2399,,,,0.687147855758667,0.7477546334266663,0.46792176365852356
11,2399,0.6872856020927429,0.7493373155593872,0.46709901094436646,,,
12,2599,,,,0.6719313263893127,0.7471516132354736,0.4557074010372162
12,2599,0.6946961879730225,0.754821240901947,0.474506139755249,,,
13,2799,,,,0.5551889538764954,0.6247140765190125,0.3439655601978302
13,2799,0.695202648639679,0.7557293176651001,0.47464796900749207,,,
14,2999,,,,0.6625504493713379,0.7529933452606201,0.4493856430053711
14,2999,0.7102891206741333,0.764809250831604,0.4899519085884094,,,
15,3199,,,,0.6168334484100342,0.7737569808959961,0.4867216646671295
15,3199,0.6252943873405457,0.7703366279602051,0.4947108030319214,,,
16,3399,,,,0.645802915096283,0.764792263507843,0.5149884819984436
16,3399,0.6306586861610413,0.7758213877677917,0.5007604360580444,,,
17,3599,,,,0.6305657625198364,0.7650736570358276,0.49306994676589966
17,3599,0.6420377492904663,0.7779746055603027,0.5095534920692444,,,
