val: {mIoU:0.02758943212037799}{'Building': 0.0, 'Road': 0.16318242307138517, 'Tree': 0.01133877063855182, 'LowVeg': 0.01589769102325597, 'Moving_Car': 0.003938408210514063, 'Static_Car': 0.0, 'Human': 0.0006937929956222639, 'Clutter': 0.02566437102369462}
val: {mIoU:0.020796574484949783}{'Building': 0.0011801469946404568, 'Road': 0.1557918347464031, 'Tree': 0.0, 'LowVeg': 4.853871174618622e-06, 'Moving_Car': 0.009224747485553792, 'Static_Car': 0.0, 'Human': 0.00017101278182630618, 'Clutter': 0.0}
val: {mIoU:0.016463846857620586}{'Building': 0.0, 'Road': 2.0559950244920406e-05, 'Tree': 0.09196396438457961, 'LowVeg': 0.0001413029833122996, 'Moving_Car': 0.0009797110742977254, 'Static_Car': 0.0038349986991838584, 'Human': 0.0006178815084324565, 'Clutter': 0.03415235626091382}
val: {mIoU:0.025134497510137504}{'Building': 0.0, 'Road': 7.348758868114764e-06, 'Tree': 0.02816083944378757, 'LowVeg': 0.16422286076170212, 'Moving_Car': 0.008622188622188623, 'Static_Car': 0.0, 'Human': 3.5435658560283484e-05, 'Clutter': 2.7306835993322568e-05}
val: {mIoU:0.026983909742374333}{'Building': 0.0006399519861541468, 'Road': 0.031139469571450393, 'Tree': 0.0006212042291364024, 'LowVeg': 0.1753668358180065, 'Moving_Car': 0.005391110498641161, 'Static_Car': 0.002112082928409459, 'Human': 0.000545404963185165, 'Clutter': 5.5217944011431935e-05}
val: {mIoU:0.03480663081788185}{'Building': 0.0026248087887637325, 'Road': 0.0, 'Tree': 0.2589792327399599, 'LowVeg': 0.0017679233988721157, 'Moving_Car': 0.0, 'Static_Car': 0.0, 'Human': 0.0, 'Clutter': 0.015081081615459057}
val: {mIoU:0.042873492314363174}{'Building': 0.0651727188763783, 'Road': 9.527857990941205e-05, 'Tree': 0.1492709634154614, 'LowVeg': 0.007609589607743581, 'Moving_Car': 0.00015354496948293732, 'Static_Car': 0.0, 'Human': 0.0003557959154628905, 'Clutter': 0.12033004715046691}
val: {mIoU:0.03167653355422665}{'Building': 0.16692237080835548, 'Road': 0.06147009383116581, 'Tree': 0.001564290838754571, 'LowVeg': 1.0315377497307384e-05, 'Moving_Car': 0.00019436975606595613, 'Static_Car': 0.012987367609061462, 'Human': 0.0, 'Clutter': 0.010263460212912613}
val: {mIoU:0.029540465246550927}{'Building': 0.024937219016819178, 'Road': 0.0006590859915044812, 'Tree': 0.20160332100420045, 'LowVeg': 0.0008498089438769999, 'Moving_Car': 0.004884261601241063, 'Static_Car': 0.00047097901664539, 'Human': 0.0, 'Clutter': 0.002919046398119849}
val: {mIoU:0.2671095239254953}{'Building': 0.5736938131258805, 'Road': 0.46999005336289695, 'Tree': 0.44922320766215434, 'LowVeg': 0.32786942748485115, 'Moving_Car': 0.16943761333979093, 'Static_Car': 0.0, 'Human': 0.0, 'Clutter': 0.1466620764283883}
train: {mIoU:0.1986718721274572}{'Building': 0.44100467365002566, 'Road': 0.2942596972423793, 'Tree': 0.43503892433038754, 'LowVeg': 0.23492628346902092, 'Moving_Car': 0.0025913205068369763, 'Static_Car': 0.0007302664463104489, 'Human': 2.5617064380485988e-05, 'Clutter': 0.1807981943103163}

val: {mIoU:0.3156525636945482}{'Building': 0.6572401587725869, 'Road': 0.5089667805679162, 'Tree': 0.4521330887258381, 'LowVeg': 0.443104082399497, 'Moving_Car': 0.18348577864142793, 'Static_Car': 0.015866203859859804, 'Human': 0.0, 'Clutter': 0.26442441658925964}
train: {mIoU:0.26552915173026714}{'Building': 0.5309385825893821, 'Road': 0.3939040213128326, 'Tree': 0.5031523973292167, 'LowVeg': 0.2887562060340023, 'Moving_Car': 0.1790297567123797, 'Static_Car': 0.0032327717470387197, 'Human': 0.0, 'Clutter': 0.22521947811728535}

val: {mIoU:0.41643177988165914}{'Building': 0.7349921940468791, 'Road': 0.6005300728647819, 'Tree': 0.590226988968675, 'LowVeg': 0.4678361653058658, 'Moving_Car': 0.39663013540689757, 'Static_Car': 0.18643311274769028, 'Human': 0.0, 'Clutter': 0.35480556971248367}
train: {mIoU:0.3211508622444548}{'Building': 0.587497533959444, 'Road': 0.46258588023779423, 'Tree': 0.5529615891843073, 'LowVeg': 0.35979814049838765, 'Moving_Car': 0.24317964671428274, 'Static_Car': 0.09605454845337326, 'Human': 0.0, 'Clutter': 0.2671295589080493}

val: {mIoU:0.38851747298220596}{'Building': 0.7398860972367519, 'Road': 0.5583715262646756, 'Tree': 0.5969235579672305, 'LowVeg': 0.38642181556923066, 'Moving_Car': 0.42257694044398497, 'Static_Car': 0.13271199986273513, 'Human': 0.0, 'Clutter': 0.27124784651303907}
train: {mIoU:0.35715329532585477}{'Building': 0.6320281164551763, 'Road': 0.47374810547998336, 'Tree': 0.5962353283308542, 'LowVeg': 0.41275749878202617, 'Moving_Car': 0.29067229800570576, 'Static_Car': 0.14784807759793098, 'Human': 0.0, 'Clutter': 0.30393693795516125}

